user_id,persona_name,job,story_flag,home_lat,home_lon,device_id
c5dd4004-498c-4409-9472-7a0e457ff8f1,김민철,배달_투잡러,normal,36.726452,126.562527,DEV-9c2620aeef
6d422b5f-1b23-4312-bbfc-4ef97e5fc845,박지수,프리랜서_마케터,cashflow_crisis,35.742579,127.058027,DEV-f804ce8071
131b9d96-aa5a-4938-844d-2d08b7a2df9a,이하늘,IT_개발자,normal,36.988472,128.191749,DEV-c49cdab935
a0598579-8124-47ac-ab26-dc5e2c7c8c1a,최유진,크리에이터_인플루언서,budget_over,37.408885,126.717347,DEV-1604ba75f8
c781347d-a5e7-47fc-87ab-4f298190cdfb,정다운,강사_배민커넥트,nhis_risk,36.139189,126.574493,DEV-a1c695183e
42412794-2164-415d-9f8e-49325b148cb9,일반유저_프리랜서_마케터_1,프리랜서_마케터,cashflow_crisis,35.628184,128.005047,DEV-7d43fd5c15
0ded7c85-0a4d-4c84-b917-da91d512a750,일반유저_강사_배민커넥트_2,강사_배민커넥트,nhis_risk,35.536862,128.124711,DEV-a9934025d3
407ee6bd-810d-46f3-b54c-266f64526290,일반유저_강사_배민커넥트_3,강사_배민커넥트,nhis_risk,36.132704,127.623023,DEV-abf78ce2d0
5a8eef0f-e4c1-46f6-9667-6080b2e4ceff,일반유저_IT_개발자_4,IT_개발자,normal,37.185462,126.516247,DEV-72261693ed
a1fc7a80-1c2a-4337-b3c7-982cc0c91e27,일반유저_프리랜서_마케터_5,프리랜서_마케터,cashflow_crisis,36.884976,127.350626,DEV-2ab13e528c
c609a246-5909-42c4-82a6-30132930ed8f,일반유저_프리랜서_마케터_6,프리랜서_마케터,cashflow_crisis,35.581347,128.408735,DEV-ded3c49be8
727eadc6-6e21-47c1-9f4e-69bdde402a7f,일반유저_배달_투잡러_7,배달_투잡러,normal,35.250414,126.741791,DEV-4d0b3c57a3
f1d2fec9-24d2-4179-b02f-60c22abfa198,일반유저_IT_개발자_8,IT_개발자,normal,36.63006,128.517821,DEV-1da990577a
ddd9b3e6-b616-4838-8dfb-02bc6670ed15,일반유저_크리에이터_인플루언서_9,크리에이터_인플루언서,budget_over,36.447816,128.932789,DEV-2363b20789
6edfcfbb-392e-493c-a0e2-3123f9b2e5e5,일반유저_크리에이터_인플루언서_10,크리에이터_인플루언서,budget_over,35.212761,127.232946,DEV-26d7dd160d
